species_combination,common_words
Aquari,"{'gaiax', 'pollex', 'leafon', 'terranix', 'biomar', 'terram', 'aquos', 'floraz', 'floren', 'solux', 'sporzom', 'petros', 'haunar', 'ariana', 'arbor', 'pluvia', 'faunar', 'seypod', 'insectus', 'zephyr', 'ekos', 'floran', 'ventus', 'foliar', 'rootix', 'aviana', 'seepod', 'herba', 'nimbus'}"
Florian,"{'gaiax', 'pollex', 'leafon', 'terranix', 'biomar', 'terram', 'aquos', 'floraz', 'floren', 'solux', 'sporzom', 'petros', 'haunar', 'ariana', 'arbor', 'pluvia', 'faunar', 'seypod', 'insectus', 'zephyr', 'ekos', 'floran', 'ventus', 'foliar', 'rootix', 'aviana', 'seepod', 'herba', 'nimbus'}"
Zorblax,"{'glixx', 'orbitaz', 'cosmix', 'galaxum', 'kkmeta', 'stardux', 'nebuz', 'quasar', 'solarix', 'novax', 'pulsar', 'lunox', 'xeno', 'zorp', 'meteorn', 'celestar', 'vortex', 'novara', 'blapoz', 'nebulax', 'pulsox', 'kometa', 'warpz', 'novum', 'astron', 'ufox'}"
Quixnar,"{'glixx', 'orbitaz', 'cosmix', 'galaxum', 'kkmeta', 'stardux', 'nebuz', 'quasar', 'solarix', 'novax', 'pulsar', 'lunox', 'xeno', 'zorp', 'meteorn', 'celestar', 'vortex', 'novara', 'blapoz', 'nebulax', 'pulsox', 'kometa', 'warpz', 'novum', 'astron', 'ufox'}"
Faerix,"{'mermax', 'herox', 'nympha', 'krakos', 'fabulon', 'epikoz', 'beastix', 'unikor', 'centarex', 'legax', 'gryphox', 'relikum', 'fenix', 'drakos', 'elvex', 'deitax', 'sirenix', 'sagax', 'lorix', 'mythox', 'goblax', 'faerix', 'magix', 'cyclopix', 'titanos'}"
Mythron,"{'mermax', 'herox', 'nympha', 'krakos', 'fabulon', 'epikoz', 'beastix', 'unikor', 'centarex', 'legax', 'gryphox', 'relikum', 'fenix', 'drakos', 'elvex', 'deitax', 'sirenix', 'sagax', 'lorix', 'mythox', 'goblax', 'faerix', 'magix', 'cyclopix', 'titanos'}"
Nexoon,"{'digitron', 'quantaz', 'lazeron', 'nanobyt', 'aeon', 'neuraz', 'techix', 'dronix', 'cryptoz', 'nexus', 'nanozom', 'codex', 'virtua', 'cybron', 'algorix', 'synapz', 'cybrex', 'technos', 'datax', 'quantix', 'holox', 'biotex', 'circux', 'mechan', 'robonix'}"
Cybex,"{'digitron', 'quantaz', 'lazeron', 'nanobyt', 'aeon', 'neuraz', 'techix', 'dronix', 'cryptoz', 'nexus', 'nanozom', 'codex', 'virtua', 'cybron', 'algorix', 'synapz', 'cybrex', 'technos', 'datax', 'quantix', 'holox', 'biotex', 'circux', 'mechan', 'robonix'}"
Emotivor,"{'calmox', 'luvium', 'blissam', 'ekstax', 'sorrowz', 'euphorix', 'pridius', 'excitar', 'dredax', 'disgux', 'shamex', 'joyzor', 'trustix', 'angstix', 'vridius', 'gleex', 'fearix', 'empathix', 'ragex', 'furio', 'sadix', 'hopium', 'zenox', 'anxius', 'shockus', 'awezom'}"
Sentire,"{'calmox', 'luvium', 'blissam', 'ekstax', 'sorrowz', 'euphorix', 'pridius', 'excitar', 'dredax', 'disgux', 'shamex', 'joyzor', 'trustix', 'angstix', 'vridius', 'gleex', 'fearix', 'empathix', 'ragex', 'furio', 'sadix', 'hopium', 'zenox', 'anxius', 'shockus', 'awezom'}"
